Link ID; Channel ID; Line; Data 
  1; 15; 71;0xb6e8972c4e;0x5da3fff53c3e8008020f2196098dfff6L
  1; 15; 72;0xb6e8972c8a;0x98dfff63c3e8008020f21951d67fff7L
  1; 15; 73;0xb6e8972cc6;0x1d67fff73c3e8008020f2195e56bfff8L
  1; 15; 74;0xb6e8972d02;0xe56bfff83c3e8008020f2194e58efff9L
  1; 15; 75;0xb6e8972d3e;0xe58efff93c3e8008020f2195e998fffaL
  1; 15; 76;0xb6e89731ee;0xbcbcbcbc3c3ea008020f0196397cffccL
  1; 15; 77;0xb6e897322a;0x397cffcc3c3ea008020f01957578ffcdL
  1; 15; 78;0xb6e8973266;0x7578ffcd3c3ea008020f0195c176ffceL
  1; 15; 79;0xb6e89732a2;0xc176ffce3c3ea008020f01956d85ffcfL
  1; 15; 80;0xb6e89732de;0x6d85ffcf3c3ea008020f0195b16cffc0L
  1; 15; 81;0xb6e897331a;0xb16cffc03c3ea008020f0195b586ffc1L
  1; 15; 82;0xb6e8973356;0xb586ffc13c3ea008020f0195b98effc2L
  1; 15; 83;0xb6e8973392;0xb98effc23c3ea008020f0195e971ffc3L
  1; 15; 84;0xb6e89733ce;0xe971ffc33c3ea008020f019615a9ffc4L
  1; 15; 85;0xb6e897340a;0x15a9ffc43c3ea008020f019581a4ffc5L
  1; 15; 86;0xb6e8973446;0x81a4ffc53c3ea008020f01962993ffc6L
  1; 15; 87;0xb6e8973482;0x2993ffc63c3ea008020f01952d6affc7L
  1; 15; 88;0xb6e89734be;0x2d6affc73c3ea008020f0196096affc8L
  1; 15; 89;0xb6e89734fa;0x96affc83c3ea008020f01950d91ffc9L
  1; 15; 90;0xb6e8973536;0xd91ffc93c3ea008020f0196059cffcaL
  1; 15; 91;0xb6e89739e6;0xbcbcbcbc3c3ec008020f21961974ffdcL
  1; 15; 92;0xb6e8973a22;0x1974ffdc3c3ec008020f21955d78ffddL
  1; 15; 93;0xb6e8973a5e;0x5d78ffdd3c3ec008020f2195b570ffdeL
  1; 15; 94;0xb6e8973a9a;0xb570ffde3c3ec008020f21954189ffdfL
  1; 15; 95;0xb6e8973ad6;0x4189ffdf3c3ec008020f2195a168ffd0L
  1; 15; 96;0xb6e8973b12;0xa168ffd03c3ec008020f21959d8affd1L
  1; 15; 97;0xb6e8973b4e;0x9d8affd13c3ec008020f2195cd8bffd2L
  1; 15; 98;0xb6e8973b8a;0xcd8bffd23c3ec008020f2195c969ffd3L
  1; 15; 99;0xb6e8973bc6;0xc969ffd33c3ec008020f219605a9ffd4L
  1; 15;100;0xb6e8973c02;0x5a9ffd43c3ec008020f219581a2ffd5L
  1; 15;101;0xb6e8973c3e;0x81a2ffd53c3ec008020f21962190ffd6L
  1; 15;102;0xb6e8973c7a;0x2190ffd63c3ec008020f21952563ffd7L
  1; 15;103;0xb6e8973cb6;0x2563ffd73c3ec008020f2195f169ffd8L
  1; 15;104;0xb6e8973cf2;0xf169ffd83c3ec008020f21950d91ffd9L
  1; 15;105;0xb6e8973d2e;0xd91ffd93c3ec008020f2195e59bffdaL
  1; 15;106;0xb6e89741de;0xbcbcbcbc3c3ee008020f01960d79ffecL
  1; 15;107;0xb6e897421a;0xd79ffec3c3ee008020f01956578ffedL
  1; 15;108;0xb6e8974256;0x6578ffed3c3ee008020f0195c979ffeeL
  1; 15;109;0xb6e8974292;0xc979ffee3c3ee008020f01954d84ffefL
  1; 15;110;0xb6e89742ce;0x4d84ffef3c3ee008020f0195c968ffe0L
  1; 15;111;0xb6e897430a;0xc968ffe03c3ee008020f01959984ffe1L
  1; 15;112;0xb6e8974346;0x9984ffe13c3ee008020f0195b98bffe2L
  1; 15;113;0xb6e8974382;0xb98bffe23c3ee008020f0195bd69ffe3L
  1; 15;114;0xb6e89743be;0xbd69ffe33c3ee008020f0195f9aeffe4L
  1; 15;115;0xb6e89743fa;0xf9aeffe43c3ee008020f019565a5ffe5L
  1; 15;116;0xb6e8974436;0x65a5ffe53c3ee008020f01962990ffe6L
  1; 15;117;0xb6e8974472;0x2990ffe63c3ee008020f01952564ffe7L
  1; 15;118;0xb6e89744ae;0x2564ffe73c3ee008020f0195f56cffe8L
  1; 15;119;0xb6e89744ea;0xf56cffe83c3ee008020f0195018effe9L
  1; 15;120;0xb6e8974526;0x18effe93c3ee008020f0195f19effeaL
  1; 15;121;0xb6e89749d6;0xbcbcbcbc3c3f0008020f2196297afffcL
  1; 15;122;0xb6e8974a12;0x297afffc3c3f0008020f21956574fffdL
  1; 15;123;0xb6e8974a4e;0x6574fffd3c3f0008020f2195c971fffeL
  1; 15;124;0xb6e8974a8a;0xc971fffe3c3f0008020f21955984ffffL
  1; 15;125;0xb6e8974ac6;0x5984ffff3c3f0008020f2195b964fff0L
  1; 15;126;0xb6e8974b02;0xb964fff03c3f0008020f21959588fff1L
  1; 15;127;0xb6e8974b3e;0x9588fff13c3f0008020f2195c989fff2L
  1; 15;128;0xb6e8974b7a;0xc989fff23c3f0008020f2195bd6bfff3L
  1; 15;129;0xb6e8974bb6;0xbd6bfff33c3f0008020f2195f9aafff4L
  1; 15;130;0xb6e8974bf2;0xf9aafff43c3f0008020f219569a7fff5L
  1; 15;131;0xb6e8974c2e;0x69a7fff53c3f0008020f2196118efff6L
  1; 15;132;0xb6e8974c6a;0x118efff63c3f0008020f21952969fff7L
  1; 15;133;0xb6e8974ca6;0x2969fff73c3f0008020f2195f56cfff8L
  1; 15;134;0xb6e8974ce2;0xf56cfff83c3f0008020f2194ed91fff9L
  1; 15;135;0xb6e8974d1e;0xed91fff93c3f0008020f21960599fffaL
  1; 15;136;0xb6e897520a;0xbcbcbcbc3c3f2008020f0196297affccL
  1; 15;137;0xb6e8975246;0x297affcc3c3f2008020f01956d76ffcdL
  1; 15;138;0xb6e8975282;0x6d76ffcd3c3f2008020f0195b574ffceL
  1; 15;139;0xb6e89752be;0xb574ffce3c3f2008020f01955d82ffcfL
  1; 15;140;0xb6e89752fa;0x5d82ffcf3c3f2008020f0195ad69ffc0L
  1; 15;141;0xb6e8975336;0xad69ffc03c3f2008020f0195b185ffc1L
  1; 15;142;0xb6e8975372;0xb185ffc13c3f2008020f0195b18dffc2L
  1; 15;143;0xb6e89753ae;0xb18dffc23c3f2008020f0195e56cffc3L
  1; 15;144;0xb6e89753ea;0xe56cffc33c3f2008020f019615a7ffc4L
  1; 15;145;0xb6e8975426;0x15a7ffc43c3f2008020f019575a2ffc5L
  1; 15;146;0xb6e8975462;0x75a2ffc53c3f2008020f0196218fffc6L
  1; 15;147;0xb6e897549e;0x218fffc63c3f2008020f01952969ffc7L
  1; 15;148;0xb6e89754da;0x2969ffc73c3f2008020f01960569ffc8L
  1; 15;149;0xb6e8975516;0x569ffc83c3f2008020f01950d8fffc9L
  1; 15;150;0xb6e8975552;0xd8fffc93c3f2008020f0196019cffcaL
  1; 15;151;0xb6e8975a02;0xbcbcbcbc3c3f4008020f21962d74ffdcL
  1; 15;152;0xb6e8975a3e;0x2d74ffdc3c3f4008020f21955d7bffddL
  1; 15;153;0xb6e8975a7a;0x5d7bffdd3c3f4008020f2195b574ffdeL
  1; 15;154;0xb6e8975ab6;0xb574ffde3c3f4008020f21954d8bffdfL
  1; 15;155;0xb6e8975af2;0x4d8bffdf3c3f4008020f2195ad69ffd0L
  1; 15;156;0xb6e8975b2e;0xad69ffd03c3f4008020f2195a18affd1L
  1; 15;157;0xb6e8975b6a;0xa18affd13c3f4008020f2195d58dffd2L
  1; 15;158;0xb6e8975ba6;0xd58dffd23c3f4008020f2195d96cffd3L
  1; 15;159;0xb6e8975be2;0xd96cffd33c3f4008020f219609adffd4L
  1; 15;160;0xb6e8975c1e;0x9adffd43c3f4008020f21958da7ffd5L
  1; 15;161;0xb6e8975c5a;0x8da7ffd53c3f4008020f21962192ffd6L
  1; 15;162;0xb6e8975c96;0x2192ffd63c3f4008020f21953165ffd7L
  1; 15;163;0xb6e8975cd2;0x3165ffd73c3f4008020f21960569ffd8L
  1; 15;164;0xb6e8975d0e;0x569ffd83c3f4008020f21951595ffd9L
  1; 15;165;0xb6e8975d4a;0x1595ffd93c3f4008020f2195ed9fffdaL
  1; 15;166;0xb6e89761fa;0xbcbcbcbc3c3f6008020f01961177ffecL
  1; 15;167;0xb6e8976236;0x1177ffec3c3f6008020f01955d76ffedL
  1; 15;168;0xb6e8976272;0x5d76ffed3c3f6008020f0195c179ffeeL
  1; 15;169;0xb6e89762ae;0xc179ffee3c3f6008020f01954d81ffefL
  1; 15;170;0xb6e89762ea;0x4d81ffef3c3f6008020f0195b968ffe0L
  1; 15;171;0xb6e8976326;0xb968ffe03c3f6008020f01959183ffe1L
  1; 15;172;0xb6e8976362;0x9183ffe13c3f6008020f0195b988ffe2L
  1; 15;173;0xb6e897639e;0xb988ffe23c3f6008020f0195b568ffe3L
  1; 15;174;0xb6e89763da;0xb568ffe33c3f6008020f0195f1acffe4L
  1; 15;175;0xb6e8976416;0xf1acffe43c3f6008020f019561a4ffe5L
  1; 15;176;0xb6e8976452;0x61a4ffe53c3f6008020f01961d90ffe6L
  1; 15;177;0xb6e897648e;0x1d90ffe63c3f6008020f01951d64ffe7L
  1; 15;178;0xb6e89764ca;0x1d64ffe73c3f6008020f0195f16affe8L
  1; 15;179;0xb6e8976506;0xf16affe83c3f6008020f0195018dffe9L
  1; 15;180;0xb6e8976542;0x18dffe93c3f6008020f0195ed9effeaL
  1; 15;181;0xb6e89769f2;0xbcbcbcbc3c3f8008020f21962177fffcL
  1; 15;182;0xb6e8976a2e;0x2177fffc3c3f8008020f21956172fffdL
  1; 15;183;0xb6e8976a6a;0x6172fffd3c3f8008020f2195c572fffeL
  1; 15;184;0xb6e8976aa6;0xc572fffe3c3f8008020f21955584ffffL
  1; 15;185;0xb6e8976ae2;0x5584ffff3c3f8008020f2195ad63fff0L
  1; 15;186;0xb6e8976b1e;0xad63fff03c3f8008020f21958d86fff1L
  1; 15;187;0xb6e8976b5a;0x8d86fff13c3f8008020f2195c58afff2L
  1; 15;188;0xb6e8976b96;0xc58afff23c3f8008020f2195bd69fff3L
  1; 15;189;0xb6e8976bd2;0xbd69fff33c3f8008020f2195f9a9fff4L
  1; 15;190;0xb6e8976c0e;0xf9a9fff43c3f8008020f21956da3fff5L
  1; 15;191;0xb6e8976c4a;0x6da3fff53c3f8008020f2196118dfff6L
  1; 15;192;0xb6e8976c86;0x118dfff63c3f8008020f21952168fff7L
  1; 15;193;0xb6e8976cc2;0x2168fff73c3f8008020f2195f56afff8L
  1; 15;194;0xb6e8976cfe;0xf56afff83c3f8008020f2194ed8efff9L
  1; 15;195;0xb6e8976d3a;0xed8efff93c3f8008020f2195f596fffaL
  1; 15;196;0xb6e89771ea;0xbcbcbcbc3c3fa008020f0196317effccL
  1; 15;197;0xb6e8977226;0x317effcc3c3fa008020f01957976ffcdL
  1; 15;198;0xb6e8977262;0x7976ffcd3c3fa008020f0195c576ffceL
  1; 15;199;0xb6e897729e;0xc576ffce3c3fa008020f01956584ffcfL
  1; 15;200;0xb6e89772da;0x6584ffcf3c3fa008020f0195b56bffc0L
  1; 15;201;0xb6e8977316;0xb56bffc03c3fa008020f0195b585ffc1L
  1; 15;202;0xb6e8977352;0xb585ffc13c3fa008020f0195b590ffc2L
  1; 15;203;0xb6e897738e;0xb590ffc23c3fa008020f0195dd6effc3L
  1; 15;204;0xb6e89773ca;0xdd6effc33c3fa008020f019619a9ffc4L
  1; 15;205;0xb6e8977406;0x19a9ffc43c3fa008020f019585a5ffc5L
  1; 15;206;0xb6e8977442;0x85a5ffc53c3fa008020f01963192ffc6L
  1; 15;207;0xb6e897747e;0x3192ffc63c3fa008020f0195296bffc7L
  1; 15;208;0xb6e89774ba;0x296bffc73c3fa008020f01960969ffc8L
  1; 15;209;0xb6e89774f6;0x969ffc83c3fa008020f01950992ffc9L
  1; 15;210;0xb6e8977532;0x992ffc93c3fa008020f01960d9bffcaL
  1; 15;211;0xb6e89779e2;0xbcbcbcbc3c3fc008020f21962173ffdcL
  1; 15;212;0xb6e8977a1e;0x2173ffdc3c3fc008020f2195617affddL
  1; 15;213;0xb6e8977a5a;0x617affdd3c3fc008020f2195b56effdeL
  1; 15;214;0xb6e8977a96;0xb56effde3c3fc008020f2195418affdfL
  1; 15;215;0xb6e8977ad2;0x418affdf3c3fc008020f2195a569ffd0L
  1; 15;216;0xb6e8977b0e;0xa569ffd03c3fc008020f21959589ffd1L
  1; 15;217;0xb6e8977b4a;0x9589ffd13c3fc008020f2195cd8bffd2L
  1; 15;218;0xb6e8977b86;0xcd8bffd23c3fc008020f2195cd69ffd3L
  1; 15;219;0xb6e8977bc2;0xcd69ffd33c3fc008020f219609abffd4L
  1; 15;220;0xb6e8977bfe;0x9abffd43c3fc008020f219585a5ffd5L
  1; 15;221;0xb6e8977c3a;0x85a5ffd53c3fc008020f21961990ffd6L
  1; 15;222;0xb6e8977c76;0x1990ffd63c3fc008020f21952962ffd7L
  1; 15;223;0xb6e8977cb2;0x2962ffd73c3fc008020f21960168ffd8L
  1; 15;224;0xb6e8977cee;0x168ffd83c3fc008020f21950991ffd9L
  1; 15;225;0xb6e8977d2a;0x991ffd93c3fc008020f2195e59dffdaL
  1; 15;226;0xb6e89781da;0xbcbcbcbc3c3fe008020f0196197bffecL
  1; 15;227;0xb6e8978216;0x197bffec3c3fe008020f01956d7affedL
  1; 15;228;0xb6e8978252;0x6d7affed3c3fe008020f0195cd7cffeeL
  1; 15;229;0xb6e897828e;0xcd7cffee3c3fe008020f01955585ffefL
  1; 15;230;0xb6e89782ca;0x5585ffef3c3fe008020f0195c56bffe0L
  1; 15;231;0xb6e8978306;0xc56bffe03c3fe008020f01959985ffe1L
  1; 15;232;0xb6e8978342;0x9985ffe13c3fe008020f0195c58affe2L
  1; 15;233;0xb6e897837e;0xc58affe23c3fe008020f0195c96affe3L
  1; 15;234;0xb6e89783ba;0xc96affe33c3fe008020f019601afffe4L
  1; 15;235;0xb6e89783f6;0x1afffe43c3fe008020f01956da7ffe5L
  1; 15;236;0xb6e8978432;0x6da7ffe53c3fe008020f01962591ffe6L
  1; 15;237;0xb6e897846e;0x2591ffe63c3fe008020f01952567ffe7L
  1; 15;238;0xb6e89784aa;0x2567ffe73c3fe008020f0196016dffe8L
  1; 15;239;0xb6e89784e6;0x16dffe83c3fe008020f01950991ffe9L
  1; 15;240;0xb6e8978522;0x991ffe93c3fe008020f0196059fffeaL
  1; 15;241;0xb6e8978a0e;0xbcbcbcbc3c3c0008020f21962579fffcL
  1; 15;242;0xb6e8978a4a;0x2579fffc3c3c0008020f21955d73fffdL
  1; 15;243;0xb6e8978a86;0x5d73fffd3c3c0008020f2195c972fffeL
  1; 15;244;0xb6e8978ac2;0xc972fffe3c3c0008020f21954d83ffffL
  1; 15;245;0xb6e8978afe;0x4d83ffff3c3c0008020f2195b162fff0L
  1; 15;246;0xb6e8978b3a;0xb162fff03c3c0008020f21958187fff1L
  1; 15;247;0xb6e8978b76;0x8187fff13c3c0008020f2195bd87fff2L
  1; 15;248;0xb6e8978bb2;0xbd87fff23c3c0008020f2195b169fff3L
  1; 15;249;0xb6e8978bee;0xb169fff33c3c0008020f2195f5a7fff4L
  1; 15;250;0xb6e8978c2a;0xf5a7fff43c3c0008020f219561a5fff5L
  1; 15;251;0xb6e8978c66;0x61a5fff53c3c0008020f2196118ffff6L
  1; 15;252;0xb6e8978ca2;0x118ffff63c3c0008020f21951968fff7L
  1; 15;253;0xb6e8978cde;0x1968fff73c3c0008020f2195f16afff8L
  1; 15;254;0xb6e8978d1a;0xf16afff83c3c0008020f2194ed8efff9L
  1; 15;255;0xb6e8978d56;0xed8efff93c3c0008020f2195f197fffaL
