Word number;		Data 
  173;			0x8c85a356
  174;			0x31823338
  175;			0x14700d0d
  176;			0x5f4e3d00
  177;			0xaa51c307
  178;			0xc763e53e
  179;			0xde68750d
  180;			0x1204c73b
  181;			0x8d23eb49
  182;			0x3061591e
  183;			0x12cd2727
  184;			0xe5621f5d
  185;			0x73bbb91e
  186;			0xbd1db91d
  187;			0x54a8051e
  188;			0xcc7b9b4f
  189;			0x912aeb75
  190;			0xd5fe1148
  191;			0x2b5cc75b
  192;			0xffc42b3d
  193;			0xb1b57105
  194;			0xa627d573
  195;			0x10f0b150
  196;			0xbbddd91b
  197;			0x4cbbb53d
  198;			0x6aa9f303
  199;			0xb3fe3778
  200;			0x95f3973b
  201;			0x38e7911f
  202;			0xd96b214c
  203;			0x2b4c3d61
  204;			0x5d163739
  205;			0x15896f23
  206;			0x76ae8773
  207;			0x2b5b930e
  208;			0x59babb7f
  209;			0x8c957d2a
  210;			0x8fa2dd30
  211;			0x95aaa371
  212;			0xc599e357
  213;			0x259b2d67
  214;			0x7409f76d
  215;			0xe9bc731a
  216;			0x96d14726
  217;			0xebd47301
  218;			0x3e648545
  219;			0x40c82b51
  220;			0xecf92938
  221;			0x91542146
  222;			0xe048c57e
  223;			0x86e8cd2c
  224;			0x5abc073a
  225;			0xea81c74e
  226;			0x26166312
  227;			0xa551a749
  228;			0x19ffe947
  229;			0x65b0fd69
  230;			0x14b1b368
  231;			0x893e0538
  232;			0xa13253e
  233;			0x3730c550
  234;			0x5039095f
  235;			0xcce9c17d
  236;			0xf4b8c10e
  237;			0xb18c8f6c
  238;			0x5705df3d
  239;			0x94eb5722
  240;			0xf05a155f
  241;			0xe227393c
  242;			0xc1539345
  243;			0x6c9b3126
  244;			0x3501032b
  245;			0x6a14e74d
  246;			0x97b97155
  247;			0x9b506375
  248;			0xf61c3109
  249;			0x6d82b576
  250;			0x4bd8a345
  251;			0xd910e73f
  252;			0x800d9b41
  253;			0x5e461723
  254;			0x5f1a9b7e
  255;			0x51938f3b
  256;			0xc3efbd28
  257;			0x782b110e
  258;			0x95ee3151
  259;			0xf15f8771
  260;			0x2943f936
  261;			0xc8916f1d
  262;			0x5bbb772a
  263;			0xf7fded58
  264;			0x9e023726
  265;			0x8aa62d33
  266;			0x58ee4948
  267;			0x4d0cbf06
  268;			0xfc72091a
  269;			0xc4656d39
  270;			0x46f0b53b
  271;			0x63458d78
  272;			0xe991e74d
  273;			0xc828b97e
  274;			0x5823bf33
  275;			0x6404163
  276;			0x25bf1d77
  277;			0x8c9d8971
  278;			0xc148df0f
  279;			0x41acdf0f
  280;			0x1ad9b946
  281;			0x502f4d13
  282;			0xab1a1757
  283;			0x9311e152
  284;			0xfa321911
  285;			0xb3c2c543
  286;			0x8321164
  287;			0x3be43d57
  288;			0x39429d5b
  289;			0xb8f62f74
  290;			0x113a1f24
  291;			0xa937575f
  292;			0x59d5272a
  293;			0xb334f101
  294;			0x8ca3b343
  295;			0xd89c6941
  296;			0x68cce131
  297;			0x5cd10519
  298;			0xcb0d334a
  299;			0x7e65cb2a
  300;			0x8a638356
  301;			0x6bab212d
  302;			0xc7edb52a
  303;			0x72b47b3e
  304;			0x2a3a030e
  305;			0xdb9c4d08
  306;			0x81237171
  307;			0xc3336534
  308;			0x75b49907
  309;			0x2acb5748
  310;			0xb8f48540
  311;			0x108eed03
  312;			0xd36521
  313;			0x91ddbb73
  314;			0x4874c168
  315;			0xbec26331
  316;			0x65eeab01
  317;			0xc1d3dd3f
  318;			0xcdf6216b
  319;			0xaf00f921
  320;			0xc1b87709
  321;			0xa81b6308
  322;			0x3acf899c
  323;			0xb38b4abe
  324;			0x1bdc38c
  325;			0x4efe379a
  326;			0x659a80b0
  327;			0x3f25efb0
  328;			0xcb227392
  329;			0x52b4fab1
  330;			0x42a71a99
  331;			0xc303acb2
  332;			0x4e6a4ca2
  333;			0xbdc2259f
  334;			0xe4b01bc
  335;			0x20e99cbe
  336;			0x93038a5
  337;			0x71d186b4
  338;			0x38dbfea0
  339;			0xf2134ab1
  340;			0x31395eb2
  341;			0x57a3d58b
  342;			0x127fdeb0
  343;			0x73cf67ad
  344;			0x43cbaf83
  345;			0x92365ab7
  346;			0x25dd81a3
  347;			0x46158a99
  348;			0xfbf8d997
  349;			0x39ac788d
  350;			0x3f94f992
  351;			0xfe03a7b7
  352;			0x513157ae
  353;			0xc4b47e9c
  354;			0xa52bef89
  355;			0xff686991
  356;			0xe0021e9a
  357;			0x627c55a8
  358;			0x9930088c
  359;			0xe115c690
  360;			0x145b46b3
  361;			0x975316b2
  362;			0xbaa05191
  363;			0xbced599d
  364;			0x6d8181b7
  365;			0x75a3dba4
  366;			0x54c8b8f
  367;			0x5de54d9a
  368;			0xd25202bf
  369;			0x6ae729bb
  370;			0x635c5691
  371;			0x7b8e3191
  372;			0xdd2ecea6
  373;			0x1ae507b9
  374;			0xa4df3da8
  375;			0x215871a4
  376;			0xc04e0292
  377;			0x8dc95dba
  378;			0xbb32a6aa
  379;			0xdfa4c3b9
  380;			0xfed17c8f
  381;			0xc8a668f
  382;			0x72e3909e
  383;			0x1d98e190
  384;			0xf4e09fa6
  385;			0x5fc2c883
  386;			0xa132a0b3
  387;			0xeb2b80ae
  388;			0xa6d6b5a9
  389;			0x4e3b7f9f
  390;			0xc6d0d8bf
  391;			0xeba595b8
  392;			0xa304c8b1
  393;			0xeae29a83
  394;			0xf46ef7ac
  395;			0xbecd2995
  396;			0x7ed3a2ae
  397;			0x916c2faf
  398;			0x9e7043bf
  399;			0x5d467fb9
  400;			0x72f96c92
  401;			0x3c12659e
  402;			0x61ef90bf
  403;			0x49be08ac
  404;			0xfdf117bc
  405;			0x29da78a0
  406;			0x921722b3
  407;			0x3da97fbb
  408;			0x6fe0ccab
  409;			0x1769c6b8
  410;			0x11efe891
  411;			0x39129a1
  412;			0x3fb23aa3
  413;			0x3d0ac2aa
  414;			0x43f38787
  415;			0x31d7a981
  416;			0x2635b385
  417;			0xbe89d3b5
  418;			0x43b165ae
  419;			0x14f2598c
  420;			0xadc5f398
  421;			0x1741e6b5
  422;			0xb127198c
  423;			0x5278b981
  424;			0x84a06b82
  425;			0x4dd24ca3
  426;			0xdc2a16a0
  427;			0xdec2819d
  428;			0x6b939b97
  429;			0x91da68d
  430;			0x78320d9d
  431;			0xbfc7d194
  432;			0xc834e8af
  433;			0x1fbb1992
  434;			0xbb4b3911
  435;			0x2a9b7d6c
  436;			0x2b1feb02
  437;			0x46465707
  438;			0xb55c9b3a
  439;			0x1b918726
  440;			0xfd6f1b24
  441;			0x6be5b12e
  442;			0x470ef177
  443;			0x342c4f73
  444;			0xfa6acf79
  445;			0x2ba0ab1b
  446;			0x8cf92d37
  447;			0x8b87e341
  448;			0xdfce9722
  449;			0x4cf84539
  450;			0xb44dab30
  451;			0x3b5f0328
  452;			0xe022a75c
  453;			0x78ae410b
  454;			0x57bdef28
  455;			0x56c1737f
  456;			0x643f2132
  457;			0x58c51f3e
  458;			0x6004331c
  459;			0xad60d565
  460;			0x6a9cff42
  461;			0x2190d12a
  462;			0x48301530
  463;			0xdb7a250c
  464;			0x55715736
  465;			0xe7470f5d
  466;			0xa874374d
  467;			0x62887562
  468;			0x49c3e170
  469;			0xec547750
  470;			0x9abeb5f
  471;			0x5ff69b7b
  472;			0xdc687b7f
  473;			0x343f5d46
  474;			0xba95c11a
  475;			0xd5b82f2a
  476;			0xedcf456d
  477;			0x18d2dd0b
  478;			0x2dfe8750
  479;			0x880fdf02
  480;			0xe7f7f92b
  481;			0xfec5732d
  482;			0x2de97a
  483;			0x97540375
  484;			0xdb3a1378
  485;			0xe2c6d568
  486;			0xc8512b5e
  487;			0xa9d27319
  488;			0xa5c70d6c
  489;			0x175a6958
  490;			0xee950f56
  491;			0x1cfdfb7f
  492;			0xf3678543
  493;			0x7b01cf79
  494;			0xcc721f18
  495;			0x9ca697d
  496;			0xd4fb495f
  497;			0xc7d65b40
  498;			0xeabd3d72
  499;			0xb8bb6911
  500;			0x7f494912
  501;			0xf894f0b
  502;			0x7e7ad908
  503;			0x4566c358
  504;			0x212eed70
  505;			0x7fb5f339
  506;			0x50997b6d
  507;			0x1e2eff22
  508;			0x3aef955e
  509;			0xab94d74f
  510;			0x9422f50f
  511;			0xdc3bc15b
  512;			0xa1bec130
  513;			0xb9ba8f75
  514;			0xae456d60
  515;			0x97832722
  516;			0x5eeaf735
  517;			0xc33bcd3e
  518;			0xd317af3b
  519;			0x6ca75d66
  520;			0xc9481d2c
  521;			0x78240d59
  522;			0xc97d3169
  523;			0xd75c6148
  524;			0xf9a98339
  525;			0x15e45729
  526;			0xc5f02715
  527;			0x9600dd16
  528;			0x43f14712
  529;			0xb4389b3d
  530;			0xd2fce371
  531;			0x67feb310
  532;			0xbaeed779
  533;			0xb764277a
  534;			0xd5c33145
  535;			0xd88ec51f
  536;			0x9bcf1b76
  537;			0xdb219f21
  538;			0x96fb3b60
  539;			0x738bd11f
  540;			0x412bc34a
  541;			0x7851f767
  542;			0x40920b43
  543;			0x89362f1b
  544;			0x8f4fb97e
  545;			0x4e0b970a
  546;			0xc7cb3340
  547;			0x36d1177f
  548;			0x20ea9b01
  549;			0xebb64578
  550;			0x97855f3f
  551;			0x43659f08
  552;			0xddea9364
  553;			0x36c89d5f
  554;			0x9576e363
  555;			0xd3410721
  556;			0x54674500
  557;			0x96f5f0a
  558;			0xb890db21
  559;			0x10dbd733
  560;			0x2abc630d
  561;			0xfc7fd23
  562;			0x7662811f
  563;			0xb5c59773
  564;			0x6581bb1c
  565;			0xdd319956
  566;			0x8967f525
  567;			0xcb908172
  568;			0xb06f4919
  569;			0x9f410f32
  570;			0x1d30472c
  571;			0x34688f74
  572;			0x65658131
  573;			0xf52f4327
  574;			0x74eac335
  575;			0x9bfa5f2e
  576;			0x1ab38b68
  577;			0x32df3b3e
  578;			0xbed935d
  579;			0xe4a48f56
  580;			0xf8d29556
  581;			0xef37cd7b
  582;			0xe29a1300
  583;			0xbcdf4557
  584;			0x75195b3a
  585;			0x2eb7d578
  586;			0x81d8ed3d
  587;			0x940253c
  588;			0x9309ff39
  589;			0x6299e13a
  590;			0x24379b16
  591;			0x4a7b357
  592;			0xf55c377f
  593;			0xa715d31
  594;			0x2cd9b316
  595;			0x42cfaf19
  596;			0xe75fe57b
  597;			0x1c4f594e
  598;			0xd4533726
  599;			0x52480f27
  600;			0x163ebb75
  601;			0xdad3314c
  602;			0x50da972c
  603;			0xf0af6322
  604;			0x79c4c768
  605;			0x8692bf15
  606;			0x8838235a
  607;			0x62d7eb10
  608;			0xfeeea55b
  609;			0xbb65948d
  610;			0x9adf2f33
  611;			0x50d81157
  612;			0xf2d183ab
  613;			0xd087cfa3
  614;			0xeab13f97
  615;			0x8fc4adbf
  616;			0x6a6d50a9
  617;			0x20cb9786
  618;			0x542eafaa
  619;			0xcf7aca0
  620;			0x63c999a5
  621;			0x994bb93
  622;			0x281f65b1
  623;			0x65340696
  624;			0xbb914083
  625;			0x62568a99
  626;			0x1a6ae59c
  627;			0x14c5b987
  628;			0xd4727187
  629;			0xf8498ea9
  630;			0x7f9aa2a6
  631;			0xd2cc5c97
  632;			0xdec5e3bc
  633;			0x26ee21a0
  634;			0x3269c6b3
  635;			0xc3ac69a7
  636;			0x4dd370af
  637;			0x4f9084ae
  638;			0xebe7e684
  639;			0x5b35b88
  640;			0xc5d48e92
  641;			0xb1eaf6b9
  642;			0xfd036596
  643;			0xb32a2890
  644;			0x328b16b8
  645;			0xa37c3f8a
  646;			0xed4644ac
  647;			0xbdcccaa1
  648;			0x3b5fc6a5
  649;			0x89645792
  650;			0x9fe2f88e
  651;			0xbe323990
  652;			0xda102aaf
  653;			0x2c85f741
  654;			0x55d1194c
  655;			0x5a278514
  656;			0x294a4d71
  657;			0xb1278337
  658;			0x76623320
  659;			0x9b1a6d0b
  660;			0xda75372c
  661;			0xff9f9f6d
  662;			0xfa95132e
  663;			0x26f68126
  664;			0xa0922b1a
  665;			0x9edcd144
  666;			0x22b1bf53
  667;			0xf7ffe10e
  668;			0xc45a4f0c
  669;			0x7a556767
  670;			0x28eee562
  671;			0xf0693b29
  672;			0x2b78813e
  673;			0x7e2d5906
  674;			0x235b6939
  675;			0x1a6ea505
  676;			0x66aaeb13
  677;			0x207a6131
  678;			0x9e5e9148
  679;			0x460a0170
  680;			0x40a22963
  681;			0x66e4c301
  682;			0xea9b093d
  683;			0xdc9e2b69
  684;			0x75c6cd54
  685;			0xc98a6539
  686;			0x7a8ef910
  687;			0x1ca43f27
  688;			0x25ea757f
  689;			0xe0f58f58
  690;			0x1153a50d
  691;			0x6c429d7e
  692;			0xb25a2917
  693;			0xdc74cd17
  694;			0x76397f79
  695;			0xb6d58d58
  696;			0x45a2e525
  697;			0x1b4aaf30
  698;			0xb7027b37
  699;			0x7113833e
  700;			0x39f11b2e
  701;			0xd455b45
  702;			0x37fdb774
  703;			0x4b082717
  704;			0x6e854570
  705;			0x2b7dab03
  706;			0x13c1eb6b
  707;			0xba3ceb24
  708;			0x8e106356
  709;			0xfd7c6763
  710;			0xe87d3d75
  711;			0x7611af64
  712;			0xea745139
  713;			0x8613c165
  714;			0x2e2a3302
  715;			0x6d53d24
  716;			0xd2c5a515
  717;			0x39c95f6a
  718;			0x95384f3f
  719;			0xddaff11
  720;			0x23854758
  721;			0xfacf4761
  722;			0xe559d92c
  723;			0xbe351774
  724;			0x204d793b
  725;			0x86482161
  726;			0xab64ff48
  727;			0x1b5bd51e
  728;			0xee46331e
  729;			0xb984b544
  730;			0x81cd7b54
  731;			0x7a1d96e
  732;			0x50f57b64
  733;			0xd82ad73b
  734;			0xf2a62d4c
  735;			0x4965934c
  736;			0x4b8552a
  737;			0x51c70720
  738;			0xbc147542
  739;			0x8fac9347
  740;			0x4514196a
  741;			0xb8ed3110
  742;			0x38133d5a
  743;			0xbb741902
  744;			0xd5004f2c
  745;			0x9d77d36a
  746;			0x69d00568
  747;			0xb4609102
  748;			0x6863531a
  749;			0xd88b6141
  750;			0xbfecc769
  751;			0x5c9a0f39
  752;			0x68d13d7b
  753;			0xc669c972
  754;			0xba91855b
  755;			0xe1a5ad6f
  756;			0xd6cbf50b
  757;			0x5cb7b512
  758;			0xa9ed8301
  759;			0x3f1db76a
  760;			0xa223f574
  761;			0x3b1b655c
  762;			0xad77a937
  763;			0xd2a17942
  764;			0x5a9b0f28
  765;			0xf181e103
  766;			0xa650d136
  767;			0xaef53f4d
  768;			0x30dc291c
  769;			0x20d8fb02
  770;			0xcef5634a
  771;			0xd1c6df33
  772;			0xd354f18
  773;			0xeddbe127
  774;			0x47b8cb59
  775;			0x79d63f6a
  776;			0x4ea7097b
  777;			0x2353456c
  778;			0x6169162
  779;			0xd6c30946
  780;			0xb4a2c541
  781;			0xc30fd527
  782;			0x81b68523
  783;			0x2efdfb04
  784;			0x28ac9d69
  785;			0xa1b26752
  786;			0x5dd30731
  787;			0xfd57d55e
  788;			0xbea534b
  789;			0x98c47b76
  790;			0x39386550
  791;			0xa5cf4306
  792;			0x23fda923
  793;			0xe1155573
  794;			0x91635b7a
  795;			0xdc44b57
  796;			0x5ffb4b71
  797;			0x46d2c348
  798;			0x414c696e
  799;			0xfa533b36
  800;			0x85115961
  801;			0xaf13b923
  802;			0xb501e322
  803;			0x5b37e36e
  804;			0xb1b1655b
  805;			0xc730eb45
  806;			0xfe8f2d5b
  807;			0xdca2e518
  808;			0x95de534
  809;			0x7fd66769
  810;			0x9dafb946
  811;			0x73b03b2d
  812;			0x3428a329
  813;			0xfe9e3d46
  814;			0x4247417e
  815;			0xc212c165
  816;			0x8627e343
  817;			0xcc774711
  818;			0xbc32d558
  819;			0xa583cf5f
  820;			0x5ba43951
  821;			0x52263723
  822;			0xa9b3f577
  823;			0x570718
  824;			0x7755e103
  825;			0x58e27947
  826;			0xea11bb04
  827;			0xc678852c
  828;			0x9c5d2880
  829;			0x3b0503bb
  830;			0xb48bfeb1
  831;			0xa741a7
  832;			0xba3b22a0
  833;			0x2ff658ae
  834;			0x1ba5f597
  835;			0x598c97b0
  836;			0x865c0da1
  837;			0x77e39fab
  838;			0xff3287be
  839;			0x216decb0
  840;			0x3d8ffeac
  841;			0x8e3c8a88
  842;			0x6fec7e8c
  843;			0xe2e8469f
  844;			0xd2ed5c9e
  845;			0xfb9876a8
  846;			0xddcda994
  847;			0x3c2eeaaa
  848;			0x733c2c9b
  849;			0x6ec91b9f
  850;			0x17625890
  851;			0x6989da2
  852;			0xed786e86
  853;			0xe8e0a791
  854;			0x638b0cbe
  855;			0xb5ba1eb7
  856;			0x3544489d
  857;			0x3c6572ad
  858;			0x1e2eabb3
  859;			0xbd5b5b4
  860;			0xf57ac2be
  861;			0x2eeaf5b8
  862;			0xf12f17a5
  863;			0xcc0f4cae
  864;			0x3b4802a7
  865;			0xfa9cfd96
  866;			0xaeb371bc
  867;			0x81de00be
  868;			0xe3669bb
  869;			0x553e649d
  870;			0xe6de6a9a
  871;			0xe000875e
  872;			0xc156eb5f
  873;			0x26e1974a
  874;			0x404f4d27
  875;			0x64169d6a
  876;			0x8e1d8165
  877;			0xd1309d08
  878;			0xf188354a
  879;			0x5713095c
  880;			0x29464b10
  881;			0x2a669133
  882;			0xf447733c
  883;			0xb7492552
  884;			0x5c6c4367
  885;			0xc663ad28
  886;			0x6375830f
  887;			0x29abd569
  888;			0x7c40232b
  889;			0x791a8d58
  890;			0x593f4368
  891;			0x93f7f941
  892;			0xca89135f
  893;			0x5eebb4b
  894;			0x9ce04b7e
  895;			0x32d95767
  896;			0x66a24f42
  897;			0xfb1da55f
  898;			0xd1d7a943
  899;			0x22a17f42
  900;			0x85bf152b
  901;			0x85b6470b
  902;			0xfed5d107
  903;			0x79f8cd41
  904;			0x3d192b2b
  905;			0xdf1e095e
  906;			0x4060435a
  907;			0x476dd2f
  908;			0x4e96e35b
  909;			0x9fef6724
  910;			0x3e5cc33a
  911;			0x6d490563
  912;			0xaeaa1123
  913;			0xfc479330
  914;			0x57b99957
  915;			0xbf14fb22
  916;			0xf2fe53b
  917;			0x833b835e
  918;			0xc7fae971
  919;			0x262b3d6b
  920;			0xd4b04d05
  921;			0x1a25473e
  922;			0x8c974d28
  923;			0x5b257949
  924;			0xdae0272f
  925;			0xe5b01d69
  926;			0x25b64750
  927;			0xa6d57927
  928;			0xd0aad945
  929;			0x4f33db47
  930;			0xa0ab8920
  931;			0x37eadd4e
  932;			0xea4df05
  933;			0x7773b76d
  934;			0x57f3473e
  935;			0x8864c71b
  936;			0xaf47bb01
  937;			0x1e58c50a
  938;			0x696d3302
  939;			0xaec6392f
  940;			0x251f1f5a
  941;			0xa6b99b16
  942;			0x8946bf14
  943;			0x17e4b37a
  944;			0x58011b65
  945;			0x34f98d47
  946;			0x562f9505
  947;			0x21214b03
  948;			0xa429df59
  949;			0x28c07b01
  950;			0x5aca6b73
  951;			0xedd2d74b
  952;			0xc02a916c
  953;			0x9d632b78
  954;			0x568fb41
  955;			0xc59baf05
  956;			0x531ff0a
  957;			0x21ace572
  958;			0x2bb05745
  959;			0xdbf3695b
  960;			0x5f0b851f
  961;			0x52c2f503
  962;			0x611c3b15
  963;			0xdff0472f
  964;			0xbff1522
  965;			0xbae0bf6e
  966;			0x30b6bd59
  967;			0xf0f53b2a
  968;			0x556edf2c
  969;			0x92b7815f
  970;			0xc96ee529
  971;			0xca508533
  972;			0x6065475a
  973;			0x8b2d6f0a
  974;			0xb1f0cb25
  975;			0x70698f72
  976;			0x4c546701
  977;			0xc7e34963
  978;			0x66b28b1d
  979;			0x27d8dd67
  980;			0x5b23b941
  981;			0x3db2df72
  982;			0x8043d520
  983;			0xfbf2bf7b
  984;			0x765b6114
  985;			0xbb09a918
  986;			0xfdf1032e
  987;			0xfff2cf69
  988;			0xe9d48748
  989;			0x25c5c561
  990;			0xc2ca6f07
  991;			0xae9b3135
  992;			0x75e5955a
  993;			0x13baf15a
  994;			0x1baccf31
  995;			0xee446d7a
  996;			0x3d05e326
  997;			0x43609528
  998;			0x7d5ea903
  999;			0x1ebd1727
 1000;			0x564ee95c
 1001;			0x694b5d6b
 1002;			0x701e8107
 1003;			0x14643502
 1004;			0x2758fb1f
 1005;			0x47d9353f
 1006;			0x88a2f06
 1007;			0xf69eb772
 1008;			0xcc7b7349
 1009;			0x78779b3c
 1010;			0x6f1d4b1c
 1011;			0x57bfad10
 1012;			0x57aab158
 1013;			0x73bb0913
 1014;			0x50ce2f27
 1015;			0xb3840113
 1016;			0xef071127
 1017;			0xd1f43d17
 1018;			0x208d5b18
 1019;			0xddfc314e
 1020;			0x377ef10
 1021;			0xeb97cb14
 1022;			0x9c7f8b6c
 1023;			0xf6c57558
 1024;			0x9ec34736
 1025;			0x880a3b56
 1026;			0xf2153c
 1027;			0x751f3b2f
 1028;			0x8d7e3525
 1029;			0xd21a2d1f
 1030;			0xe432f131
 1031;			0x2253a573
 1032;			0x6d704306
 1033;			0x9b25615a
 1034;			0xa2ab8b14
 1035;			0xc2e96d23
 1036;			0x49443707
 1037;			0x8be2fd2f
 1038;			0x249c1758
 1039;			0xe9e08308
 1040;			0x3b167d50
 1041;			0x25b6e759
 1042;			0x503ddf24
 1043;			0x41e73965
 1044;			0xa949bd6b
 1045;			0xb034ed49
 1046;			0x30bd432b
 1047;			0xd2df33a5
 1048;			0x3d5197d
 1049;			0x706ac543
 1050;			0x532587a1
 1051;			0xfc98ad99
 1052;			0x7c086bb8
 1053;			0x766b2492
 1054;			0x90d0d187
 1055;			0xa5a30a97
 1056;			0xfbbaa08e
 1057;			0x85b2ff86
 1058;			0x828a178e
 1059;			0xacd8cb90
 1060;			0x8aeb1ba
 1061;			0xefce4793
 1062;			0x873f2cb8
 1063;			0xdc3046a4
 1064;			0x98d957b7
 1065;			0x9c39d7b9
 1066;			0x4c0371bd
 1067;			0xf877c996
 1068;			0xa509169d
 1069;			0x75aa1d86
 1070;			0xe4e2f0b6
 1071;			0x81106cbb
 1072;			0x807a8b85
 1073;			0x4cc9af9f
 1074;			0x6adb7e8c
 1075;			0xfc544197
 1076;			0x6bae24ac
 1077;			0x7ac777b8
 1078;			0x4d9f3288
 1079;			0x394ebea4
 1080;			0x97800eb5
 1081;			0x17d5eebe
 1082;			0x97a727aa
 1083;			0x1220d3a3
 1084;			0xfdd43d99
 1085;			0x3569649a
 1086;			0x34261096
 1087;			0x18e0908f
 1088;			0x55b35586
 1089;			0xf9089489
 1090;			0xdddeafb2
 1091;			0x1a8612af
 1092;			0x62c9e5a1
 1093;			0xcf014aa
 1094;			0x21010292
 1095;			0x58a30d93
 1096;			0xd7c11183
 1097;			0xd9051b7
 1098;			0xccc8da81
 1099;			0x4b4a0ca3
 1100;			0x7eb18885
 1101;			0x285889b0
 1102;			0x77257987
 1103;			0x197e0bb6
 1104;			0xf844dd99
 1105;			0x567fbab9
 1106;			0x58fe808f
 1107;			0x620a4928
 1108;			0x8bd8d520
 1109;			0x5a1e694e
 1110;			0x2d137122
 1111;			0x3529965
 1112;			0x1d42ad02
 1113;			0x36b9b764
 1114;			0x70b835e
 1115;			0xa99e7d7a
 1116;			0xe0dc17b
 1117;			0x82d16b4b
 1118;			0x1260a14a
 1119;			0x12c38727
 1120;			0x70a27103
 1121;			0xf366b11f
 1122;			0x227da754
 1123;			0x34a1b33e
 1124;			0xb8cf9114
 1125;			0xa13ecd7d
 1126;			0xe09e1134
 1127;			0x275b1741
 1128;			0xfd3c6b27
 1129;			0x42376524
 1130;			0x22b1157c
 1131;			0x8190e35a
 1132;			0x1a5d651b
 1133;			0xa99bdd75
